profile_completeness,has_profile_picture,bio_length,email_pattern_risk,username_pattern_risk,document_valid,account_age_days,login_frequency_per_week,days_since_last_login,activity_score,duplicate_flag,risk_score,label,label_name
86.9,1,102.0,18.7,0.0,1,929.8,3.45,1.1,58.4,0,11.0,0,Verified
100.0,1,85.0,9.9,21.3,1,765.6,1.72,19.1,42.1,0,15.1,0,Verified
56.2,1,163.0,0.0,18.2,1,581.8,4.72,0.8,42.9,0,13.7,0,Verified
81.5,1,205.0,4.4,21.3,1,942.1,2.85,0.7,65.4,0,1.6,0,Verified
53.3,1,0.0,59.5,61.6,0,7.9,28.11,39.2,2.9,0,66.9,2,Rejected
18.9,0,4.0,79.3,37.5,0,59.0,2.38,12.5,18.5,1,73.7,2,Rejected
64.9,0,21.0,65.2,35.7,0,6.4,23.86,29.2,22.1,0,63.8,1,Flagged for Review
63.8,1,42.0,0.0,0.0,1,159.2,4.06,3.6,58.7,0,1.8,0,Verified
85.3,1,112.0,7.9,9.0,1,451.7,6.34,2.5,53.8,0,0.0,0,Verified
71.4,1,144.0,7.1,0.0,1,498.0,6.14,1.6,48.1,0,18.4,0,Verified
0.0,0,14.0,100.0,36.0,0,0.5,0.12,20.4,0.0,1,100.0,2,Rejected
98.7,0,119.0,15.3,4.1,1,416.8,11.65,2.8,60.6,0,1.2,0,Verified
95.4,1,101.0,18.8,17.9,1,454.6,7.06,0.7,78.2,0,5.5,0,Verified
29.4,1,10.0,57.7,19.6,0,8.8,0.07,33.9,6.7,0,75.0,2,Rejected
36.3,0,11.0,42.8,46.9,1,25.6,19.41,49.1,15.5,0,66.6,2,Rejected
45.3,0,12.0,61.0,79.7,0,4.3,0.0,2.7,21.2,0,74.7,2,Rejected
3.7,0,6.0,75.8,69.4,1,5.5,0.25,0.0,0.0,0,70.6,2,Rejected
94.7,1,78.0,33.0,27.6,1,1.0,1.45,1.1,53.6,0,30.9,0,Verified
77.8,1,90.0,13.7,1.0,1,1.0,6.13,2.9,61.2,0,17.3,0,Verified
9.9,0,19.0,55.9,46.4,0,26.4,0.12,36.3,12.0,0,84.4,2,Rejected
86.5,1,7.0,13.6,21.6,1,281.7,2.38,0.0,62.7,0,13.0,0,Verified
7.9,0,5.0,70.2,31.5,1,7.6,0.0,18.2,22.0,0,48.1,1,Flagged for Review
44.3,1,3.0,26.8,47.3,0,2.7,28.41,18.7,6.9,0,70.0,2,Rejected
86.0,1,125.0,7.6,1.1,1,563.1,7.99,0.7,45.5,0,0.0,0,Verified
70.4,1,87.0,9.6,0.0,1,596.0,7.72,4.5,54.5,0,2.6,0,Verified
73.1,1,86.0,22.8,15.0,1,881.3,4.6,1.8,31.1,0,11.4,0,Verified
20.3,0,0.0,53.9,64.0,0,7.7,0.47,12.4,11.1,1,100.0,2,Rejected
67.1,1,0.0,0.0,3.5,1,209.2,2.19,3.1,58.2,0,9.5,0,Verified
100.0,1,178.0,14.3,16.2,1,671.9,10.98,3.9,89.6,0,5.0,0,Verified
58.0,1,5.0,49.4,34.9,0,9.1,0.0,0.7,1.2,1,78.1,2,Rejected
100.0,1,91.0,0.0,31.7,1,384.2,4.88,5.8,65.3,0,11.2,0,Verified
36.2,1,0.0,80.8,36.6,0,2.9,0.0,14.8,7.3,0,71.3,2,Rejected
43.6,0,0.0,31.0,60.5,1,3.7,0.0,14.6,0.0,0,48.9,1,Flagged for Review
63.9,1,116.0,22.6,0.0,1,411.8,12.31,3.2,66.1,0,6.3,0,Verified
72.3,1,73.0,14.8,23.9,1,171.4,3.84,0.0,35.3,0,16.2,0,Verified
69.1,1,92.0,16.3,19.2,1,661.2,7.13,0.2,66.6,0,5.9,0,Verified
18.4,0,33.0,68.1,24.9,1,6.7,17.69,71.7,20.6,0,42.2,1,Flagged for Review
36.7,0,0.0,61.7,54.9,0,90.0,0.0,107.3,13.4,0,66.2,2,Rejected
97.0,1,102.0,17.0,15.6,1,775.6,3.64,3.2,65.3,0,5.7,0,Verified
90.5,1,68.0,0.0,17.1,1,33.8,5.64,1.8,59.9,0,9.2,0,Verified
43.7,0,0.0,64.9,52.1,1,14.6,5.45,20.2,3.5,0,50.5,1,Flagged for Review
61.3,1,103.0,0.0,25.5,1,467.0,3.2,1.9,52.9,0,11.7,0,Verified
0.0,0,19.0,33.3,100.0,0,1.1,35.74,72.6,20.7,1,100.0,2,Rejected
98.1,0,159.0,8.5,10.6,1,706.9,6.7,6.3,31.3,0,8.7,0,Verified
47.4,0,15.0,38.4,41.4,0,0.5,2.44,2.9,45.0,0,64.3,1,Flagged for Review
96.1,1,59.0,0.0,11.4,1,445.2,3.26,2.0,74.9,0,0.0,0,Verified
35.4,1,0.0,27.2,76.0,0,4.5,5.95,6.0,29.4,0,63.8,1,Flagged for Review
78.8,1,110.0,16.3,0.0,1,506.1,1.96,8.2,80.2,0,11.2,0,Verified
70.5,1,103.0,15.6,25.3,1,37.9,9.46,3.9,76.9,0,11.2,0,Verified
62.5,1,12.0,45.5,62.4,0,39.3,17.19,80.6,17.4,1,59.1,1,Flagged for Review
